login,logout,d1_q1,d1_q2,d1_q3,d2_q1,d2_q2,d2_q3,d3_q1,d3_q2,d3_q3,d4_q1,d4_q2,d4_q3,d5_q1,d5_q2,d5_q3,a_q1_t1,a_q1_t2,a_q2_t1,a_q2_t2,a_q3_t1,a_q3_t2,drop
5,5,5,10,5,0,10,0,5,10,5,10,10,5,0,10,5,4,10,4,4,10,4,no
5,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,no
5,4,7,10,5,0,0,0,10,7,7,10,7,5,10,7,5,9.25,7.75,5.5,7.4,6.2,4.4,no
5,5,10,10,10,10,0,10,10,10,7,10,10,10,10,10,7,10,8,8.8,10,8,8.8,no
5,5,10,10,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9.4,10,10,9.4,no
5,5,7,7,7,7,7,7,10,10,7,10,10,7,10,10,7,8.8,8.8,7,8.8,8.8,7,no
5,5,10,7,5,7,7,5,2,10,7,7,10,7,2,10,10,5.6,8.8,6.8,5.6,8.8,6.8,no
5,5,10,7,5,10,5,5,10,5,5,7,5,5,10,5,5,9.4,5.4,5,9.4,5.4,5,no
5,5,7,10,10,7,10,10,10,10,10,10,10,7,7,10,10,8.2,10,9.4,8.2,10,9.4,no
4,5,10,7,7,10,10,10,10,10,7,10,10,10,10,10,10,10,9.4,8.8,10,9.4,8.8,no
5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no
5,5,10,10,7,7,10,7,7,10,7,7,10,7,7,10,7,7.6,10,7,7.6,10,7,no
5,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,no
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no
5,5,10,10,10,7,10,7,10,10,10,7,10,7,10,10,7,8.8,10,8.2,8.8,10,8.2,no
5,5,10,5,7,10,10,7,10,10,7,5,10,5,10,10,7,9,9,6.6,9,9,6.6,no
5,5,10,7,7,7,7,7,10,5,5,10,5,5,10,7,7,9.4,6.2,6.2,9.4,6.2,6.2,no
5,5,10,7,7,10,7,7,10,10,10,10,7,7,10,10,7,10,8.2,7.6,10,8.2,7.6,no
5,4,5,7,7,10,7,7,0,0,0,10,7,5,10,5,5,8.75,6.5,6,7,5.2,4.8,no
5,5,10,10,7,10,10,7,10,10,7,7,10,7,7,10,7,8.8,10,7,8.8,10,7,no
5,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,no
5,5,5,7,7,10,7,7,10,7,7,7,7,7,10,7,5,8.4,7,6.6,8.4,7,6.6,no
5,5,10,10,10,10,10,7,10,10,7,10,10,10,10,10,10,10,10,8.8,10,10,8.8,no
